2016-12-15 15:39:11,207 - __logger__ - DEBUG - The server's logger has been initialized!
2016-12-15 15:39:11,213 - __logger__ - INFO - Enters the main loop
2016-12-15 15:39:34,403 - __logger__ - INFO - Got connection from: ('2.55.42.26', 60886)
2016-12-15 15:39:44,182 - __logger__ - INFO - Got connection from: ('2.55.42.26', 60889)
2016-12-15 15:40:40,401 - __logger__ - INFO - Got connection from: ('2.55.42.26', 60905)
2016-12-15 15:42:19,448 - __logger__ - INFO - [139946515826432, (2.55.42.26:60905)] Authentication success with user giggs!
2016-12-15 15:42:29,249 - __logger__ - INFO - [139946515826432, (2.55.42.26:60905)] User giggs has requested DirList
2016-12-15 15:43:15,078 - __logger__ - INFO - [139946515826432, (2.55.42.26:60905)] User giggs get the file: gportal_password.txt
2016-12-15 15:43:45,251 - __logger__ - INFO - Got connection from: ('2.55.42.26', 60450)
2016-12-15 15:43:47,889 - __logger__ - INFO - [139946515826432, (2.55.42.26:60450)] Authentication success with user gportal!
2016-12-15 15:43:51,571 - __logger__ - INFO - [139946515826432, (2.55.42.26:60450)] User gportal has requested DirList
2016-12-15 18:04:02,461 - __logger__ - INFO - Got connection from: ('93.174.93.136', 35092)
2016-12-15 18:04:02,462 - __logger__ - DEBUG - [139946515826432, (93.174.93.136:35092)] Packet with invalid prefix or suffix has been received!
2016-12-16 06:39:07,700 - __logger__ - INFO - Got connection from: ('5.102.253.3', 50379)
2016-12-16 06:39:59,802 - __logger__ - INFO - [139946515826432, (5.102.253.3:50379)] Authentication success with user giggs!
2016-12-16 06:40:04,573 - __logger__ - INFO - [139946515826432, (5.102.253.3:50379)] User giggs has requested DirList
2016-12-16 06:40:30,082 - __logger__ - WARNING - [139946515826432, (5.102.253.3:50379)] User giggs tried to get non-existing file: bulshit.txt
2016-12-16 06:40:55,459 - __logger__ - INFO - Got connection from: ('5.102.253.3', 50388)
2016-12-16 06:40:58,527 - __logger__ - INFO - [139946515826432, (5.102.253.3:50388)] Authentication success with user giggs!
2016-12-16 06:41:10,063 - __logger__ - INFO - [139946515826432, (5.102.253.3:50388)] User giggs has requested DirList
2016-12-16 06:41:25,344 - __logger__ - INFO - [139946515826432, (5.102.253.3:50388)] User giggs get the file: bullshit.txt
2016-12-16 06:42:00,085 - __logger__ - INFO - [139946515826432, (5.102.253.3:50388)] User giggs get the file: gportal_password.txt
2016-12-16 06:54:29,619 - __logger__ - INFO - Got connection from: ('37.142.188.113', 51363)
2016-12-16 07:20:20,134 - __logger__ - INFO - Got connection from: ('109.65.33.244', 58286)
2016-12-16 10:09:07,644 - __logger__ - INFO - Got connection from: ('109.65.33.244', 61399)
2016-12-16 10:09:11,338 - __logger__ - INFO - [139946515826432, (109.65.33.244:61399)] Authentication success with user giggs!
2016-12-16 10:12:29,064 - __logger__ - INFO - Got connection from: ('212.150.215.238', 50428)
2016-12-16 10:12:29,065 - __logger__ - DEBUG - [139946515826432, (212.150.215.238:50428)] Packet with less data than possible minimal has received!
2016-12-16 10:14:14,671 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52036)
2016-12-16 10:14:14,671 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52034)
2016-12-16 10:14:14,731 - __logger__ - DEBUG - [139946499041024, (37.26.148.189:52034)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:14:14,964 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52048)
2016-12-16 10:14:15,311 - __logger__ - DEBUG - [139946507433728, (37.26.148.189:52036)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:14:18,257 - __logger__ - INFO - Got connection from: ('212.150.215.238', 50457)
2016-12-16 10:14:29,264 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52051)
2016-12-16 10:14:29,289 - __logger__ - INFO - Got connection from: ('2.53.146.201', 7411)
2016-12-16 10:14:29,444 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52051)] Packet with less data than possible minimal has received!
2016-12-16 10:14:36,071 - __logger__ - INFO - [139946499041024, (212.150.215.238:50457)] Authentication success with user giggs!
2016-12-16 10:14:39,324 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52051)] Packet with less data than possible minimal has received!
2016-12-16 10:14:43,283 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52033)
2016-12-16 10:14:47,843 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52033)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:15:07,321 - __logger__ - INFO - [139946499041024, (212.150.215.238:50457)] User giggs has requested DirList
2016-12-16 10:16:07,282 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52037)
2016-12-16 10:16:07,687 - __logger__ - DEBUG - [139946499041024, (212.150.215.238:50457)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:16:08,842 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52037)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:16:42,532 - __logger__ - INFO - [139946499041024, (212.150.215.238:50457)] Authentication success with user giggs!
2016-12-16 10:16:51,762 - __logger__ - INFO - [139946499041024, (212.150.215.238:50457)] User giggs get the file: gportal_password.txt
2016-12-16 10:17:10,040 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52037)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:17:11,603 - __logger__ - INFO - Got connection from: ('2.53.146.201', 7457)
2016-12-16 10:17:28,292 - __logger__ - INFO - [139945872189184, (2.53.146.201:7457)] Authentication success with user giggs!
2016-12-16 10:17:30,299 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52037)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:18:20,679 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17082)
2016-12-16 10:18:35,058 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52037)] Packet with less data than possible minimal has received!
2016-12-16 10:18:46,258 - __logger__ - DEBUG - [139946490648320, (37.26.148.189:52037)] Packet with invalid prefix or suffix has been received!
2016-12-16 10:18:58,988 - __logger__ - INFO - Got connection from: ('212.150.215.238', 50503)
2016-12-16 10:19:45,353 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] Authentication success with user gportal!
2016-12-16 10:19:54,940 - __logger__ - INFO - Got connection from: ('2.53.146.201', 7608)
2016-12-16 10:19:58,228 - __logger__ - DEBUG - [139945872189184, (2.53.146.201:7457)] Packet with invalid json structure has been received!
2016-12-16 10:20:03,329 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] User gportal has requested DirList
2016-12-16 10:20:13,358 - __logger__ - INFO - [139945863796480, (2.53.146.201:7608)] Authentication success with user giggs!
2016-12-16 10:20:37,829 - __logger__ - INFO - Got connection from: ('109.67.62.22', 62374)
2016-12-16 10:20:52,376 - __logger__ - INFO - [139945863796480, (2.53.146.201:7608)] User giggs get the file: gportal_password.txt
2016-12-16 10:22:00,750 - __logger__ - INFO - [139946499041024, (212.150.215.238:50503)] User gportal get the file: TOPSECRET.txt
2016-12-16 10:22:20,328 - __logger__ - INFO - Got connection from: ('2.53.146.201', 7618)
2016-12-16 10:22:36,032 - __logger__ - INFO - Got connection from: ('37.26.148.189', 52040)
2016-12-16 10:22:54,416 - __logger__ - INFO - [139945863796480, (2.53.146.201:7618)] Authentication success with user gportal!
2016-12-16 10:22:54,593 - __logger__ - INFO - [139945872189184, (37.26.148.189:52040)] Authentication success with user giggs!
2016-12-16 10:23:01,151 - __logger__ - INFO - Got connection from: ('109.67.62.22', 17107)
2016-12-16 10:23:01,153 - __logger__ - INFO - [139946490648320, (109.67.62.22:17107)] Authentication success with user giggs!
